"Value","CountryName","IndicatorName"
3283.21193843172,"Kosovo","GDP per capita (current US$)"
29.6934334769419,"Kuwait","CO2 emissions (metric tons per capita)"
37725.141206371,"Kuwait","GDP per capita (current US$)"
1.12946750123901,"Kyrgyz Republic","CO2 emissions (metric tons per capita)"
880.037775119109,"Kyrgyz Republic","GDP per capita (current US$)"
0.203248950889891,"Lao PDR","CO2 emissions (metric tons per capita)"
1147.09538658271,"Lao PDR","GDP per capita (current US$)"
3.963228139429,"Latvia","CO2 emissions (metric tons per capita)"
11319.517002394,"Latvia","GDP per capita (current US$)"
4.63241188465437,"Lebanon","CO2 emissions (metric tons per capita)"
8763.79596416551,"Lebanon","GDP per capita (current US$)"
1.12348937076056,"Lesotho","CO2 emissions (metric tons per capita)"
1087.98277034468,"Lesotho","GDP per capita (current US$)"
0.202899198835773,"Liberia","CO2 emissions (metric tons per capita)"
326.604438111264,"Liberia","GDP per capita (current US$)"
10.5426958884223,"Libya","CO2 emissions (metric tons per capita)"
11933.7792588018,"Libya","GDP per capita (current US$)"
1.61737788069247,"Liechtenstein","CO2 emissions (metric tons per capita)"
140101.967275142,"Liechtenstein","GDP per capita (current US$)"
4.31901777106508,"Lithuania","CO2 emissions (metric tons per capita)"
11988.757967609,"Lithuania","GDP per capita (current US$)"
21.6351358015437,"Luxembourg","CO2 emissions (metric tons per capita)"
103267.276511115,"Luxembourg","GDP per capita (current US$)"
2.24289316269691,"Macao SAR, China","CO2 emissions (metric tons per capita)"
53045.9895133661,"Macao SAR, China","GDP per capita (current US$)"
4.1711610939066,"Macedonia, FYR","CO2 emissions (metric tons per capita)"
4561.17754644919,"Macedonia, FYR","GDP per capita (current US$)"
0.0989833645263092,"Madagascar","CO2 emissions (metric tons per capita)"
414.142787218657,"Madagascar","GDP per capita (current US$)"
0.082179516831074,"Malawi","CO2 emissions (metric tons per capita)"
365.516569542613,"Malawi","GDP per capita (current US$)"
7.9869514749551,"Malaysia","CO2 emissions (metric tons per capita)"
9069.04175699503,"Malaysia","GDP per capita (current US$)"
2.92760490463215,"Maldives","CO2 emissions (metric tons per capita)"
6330.7949828376,"Maldives","GDP per capita (current US$)"
0.0814766069552588,"Mali","CO2 emissions (metric tons per capita)"
610.790602095153,"Mali","GDP per capita (current US$)"
6.31649570092736,"Malta","CO2 emissions (metric tons per capita)"
19694.0831567142,"Malta","GDP per capita (current US$)"
1.9584191653315,"Marshall Islands","CO2 emissions (metric tons per capita)"
3124.34344775456,"Marshall Islands","GDP per capita (current US$)"
0.595272317202205,"Mauritania","CO2 emissions (metric tons per capita)"
1207.82745747508,"Mauritania","GDP per capita (current US$)"
3.13208253358925,"Mauritius","CO2 emissions (metric tons per capita)"
7772.10005652754,"Mauritius","GDP per capita (current US$)"
3.75209081638195,"Mexico","CO2 emissions (metric tons per capita)"
8851.35051405824,"Mexico","GDP per capita (current US$)"
1.16784566537025,"Micronesia, Fed. Sts.","CO2 emissions (metric tons per capita)"
2838.44854708113,"Micronesia, Fed. Sts.","GDP per capita (current US$)"
1.38565964214377,"Moldova","CO2 emissions (metric tons per capita)"
1631.53583179532,"Moldova","GDP per capita (current US$)"
145221.191568424,"Monaco","GDP per capita (current US$)"
4.24333522446811,"Mongolia","CO2 emissions (metric tons per capita)"
2650.34688488399,"Mongolia","GDP per capita (current US$)"
4.16766436131399,"Montenegro","CO2 emissions (metric tons per capita)"
6682.28115774574,"Montenegro","GDP per capita (current US$)"
1.74283277934955,"Morocco","CO2 emissions (metric tons per capita)"
2857.6734140278,"Morocco","GDP per capita (current US$)"
0.118205418367822,"Mozambique","CO2 emissions (metric tons per capita)"
417.501231533203,"Mozambique","GDP per capita (current US$)"
0.173734651797683,"Myanmar","CO2 emissions (metric tons per capita)"
1.44931923745113,"Namibia","CO2 emissions (metric tons per capita)"
5143.13067579247,"Namibia","GDP per capita (current US$)"
0.161137874029196,"Nepal","CO2 emissions (metric tons per capita)"
595.427519830012,"Nepal","GDP per capita (current US$)"
10.9493162786269,"Netherlands","CO2 emissions (metric tons per capita)"
50341.251919716,"Netherlands","GDP per capita (current US$)"
